"Uptime (ms)","Time spent in GC","CPU time"
"600","0","0"
"1700","0","40"
"2700","0","3"
"3700","0","3"
"4700","0","0"
"5700","0","0"
"6700","0","0"
"7700","0","20"
"8700","0","47"
"9700","0","35"
"10800","0","47"
"11800","0","31"
"12800","0","28"
"13800","0","30"
"14800","0","31"
"15800","0","28"
"16800","0","30"
"17800","0","34"
"18800","0","30"
"19800","0","28"
"20800","0","31"
"21800","0","28"
"22800","0","30"
"23800","0","35"
"24800","0","31"
"25800","0","30"
"26800","0","33"
"27800","0","35"
"28900","0","64"
"29900","0","52"
"30900","0","51"
"31900","0","50"
"32900","0","50"
"33900","0","49"
"34900","0","50"
"35900","0","50"
"37000","0","44"
"38000","0","51"
"39000","0","50"
"40000","0","51"
"41100","0","47"
"42100","0","51"
"43100","0","50"
"44200","0","45"
"45200","0","51"
"46200","0","50"
"47200","0","51"
"48300","0","46"
"49300","0","50"
"50400","2","49"
"51400","0","48"
"52400","0","51"
"53500","0","47"
"54500","0","47"
"55500","0","50"
"56500","0","51"
"57500","0","50"
"58600","0","46"
"59600","0","51"
"60600","0","51"
"61600","0","50"
"62700","0","46"
"63700","0","51"
"64700","0","51"
"65700","0","51"
"66800","0","47"
"67800","0","51"
"68800","0","50"
"69800","0","51"
"70900","0","47"
"71900","0","51"
"72900","0","52"
"74000","0","46"
"75000","0","51"
"76000","0","51"
"77100","0","46"
"78100","0","51"
"79100","0","50"
"80100","0","51"
"81200","0","46"
"82200","0","51"
"83200","0","51"
"84300","0","46"
"85300","0","51"
"86300","0","51"
"87300","0","51"
"88400","0","45"
"89400","0","51"
"90400","0","51"
"91400","0","51"
"92500","0","46"
"93500","0","52"
"94500","0","51"
"95500","0","51"
"96600","0","46"
"97600","0","51"
"98600","0","51"
"99700","0","47"
"100700","0","50"
"101700","0","51"
"102800","0","47"
"103800","0","50"
"104800","0","50"
"105800","0","51"
"106900","0","44"
"107900","0","52"
"108900","0","51"
"110000","0","46"
"111000","0","51"
"112000","0","51"
"113100","0","46"
"114100","0","51"
"115100","0","51"
"116200","0","47"
"117200","0","51"
"118200","0","51"
"119300","0","46"
"120300","0","52"
"121300","0","52"
"122400","0","46"
"123400","0","50"
"124400","0","52"
"125500","0","45"
"126500","0","50"
"127500","0","50"
"128500","0","51"
"129600","0","47"
"130600","0","51"
"131600","0","51"
"132700","0","47"
"133700","0","51"
"134800","3","49"
"135900","0","46"
"136900","0","52"
"137900","0","50"
"139000","0","46"
"140000","0","53"
"141100","0","47"
"142100","0","52"
"143100","0","51"
"144200","0","47"
"145200","0","51"
"146200","0","52"
"147300","0","46"
"148300","0","51"
"149300","0","51"
"150400","0","46"
"151400","0","52"
"152400","0","52"
"153500","0","46"
"154500","0","51"
"155500","0","51"
"156600","0","47"
"157600","0","51"
"158600","0","52"
"159700","0","46"
"160700","0","52"
"161700","0","52"
"162800","0","46"
"163800","0","51"
"164800","0","51"
"165900","0","47"
"166900","0","51"
"167900","0","50"
"168900","0","51"
"170000","0","47"
"171000","0","51"
"172000","0","51"
"173100","0","47"
"174100","0","51"
"175100","0","51"
"176200","0","46"
"177200","0","50"
"178200","0","52"
"179300","3","50"
"180400","0","47"
"181400","0","51"
"182500","0","47"
"183500","0","52"
"184500","0","51"
"185600","0","47"
"186600","0","51"
"187600","0","52"
"188700","0","46"
"189700","0","52"
"190800","0","45"
"191800","0","47"
"192800","0","52"
"193800","0","51"
"194900","0","48"
"195900","0","53"
"196900","0","49"
"198000","0","48"
"199000","0","50"
"200100","0","48"
"201100","0","50"
"202200","0","48"
"203200","0","52"
"204200","0","50"
"205300","0","47"
"206400","0","47"
"207400","0","50"
"208400","0","52"
"209500","0","46"
"210500","0","52"
"211600","0","47"
"212600","0","48"
"213600","0","51"
"214600","0","51"
"215700","0","46"
"216700","0","52"
"217800","0","46"
"218800","0","51"
"219900","0","47"
"220900","0","53"
"222000","0","47"
"223000","0","52"
"224000","0","50"
"225100","0","48"
"226200","0","49"
"227200","0","50"
"228300","0","49"
"229300","0","50"
"230400","0","48"
"231400","0","50"
"232500","0","47"
"233500","0","50"
"234600","0","49"
"235600","0","50"
"236600","0","53"
"237600","0","49"
"238700","0","48"
"239700","0","50"
"240800","0","48"
"241800","0","50"
"243000","4","49"
"244000","0","50"
"245000","0","53"
"246100","0","48"
"247100","0","49"
"248200","1","49"
"249200","0","50"
"250200","0","53"
"251200","0","50"
"252300","0","48"
"253300","0","50"
"254400","0","49"
"255400","0","50"
"256500","0","48"
"257500","0","50"
"258600","0","49"
"259600","0","50"
"260700","0","49"
"261700","0","51"
"262800","0","47"
"263800","0","53"
"264800","0","49"
"265900","0","47"
"266900","0","49"
"267900","0","52"
"269000","0","47"
"270000","0","49"
"271100","0","46"
"272100","0","53"
"273100","0","49"
"274200","0","47"
"275300","0","49"
"276300","0","51"
"277400","0","49"
"278400","0","49"
"279400","0","53"
"280500","0","46"
"281500","0","52"
"282600","0","48"
"283600","0","52"
"284700","0","48"
"285700","0","51"
"286700","0","49"
"287800","0","49"
"288800","0","51"
"289900","0","48"
"290900","0","49"
"292000","0","49"
"293000","0","49"
"294100","0","48"
"295100","0","48"
"296200","0","47"
"297300","0","48"
"298300","0","49"
"299300","0","53"
"300400","0","47"
"301400","0","49"
"302400","0","50"
"303500","0","47"
"304600","1","49"
"305600","0","49"
"306600","0","52"
"307700","2","50"
"308700","0","49"
"309800","1","49"
"310800","0","51"
"311900","0","46"
"313000","1","49"
"314000","0","51"
"315000","0","51"
"316100","1","49"
"317100","0","55"
"318200","3","80"
"319300","1","50"
"320300","3","55"
"321400","0","48"
"322500","1","50"
"323500","1","52"
"324700","6","51"
"325700","0","51"
"326700","0","52"
"327700","1","51"
"328700","1","53"
