"Name","Objects","Shallow Size","Retained Size"
"java.awt.Point","6917156","166011744","166011744"
"byte[]","244003","97332208","97332208"
"java.lang.Integer","4327443","69239088","69239088"
"java.lang.Object[]","1196","54745288","282894544"
"int[]","5803","18116120","18116120"
"java.awt.Color","238086","9523440","9523440"
"java.lang.Class","2455","1909600","4248872"
"char[]","10128","766912","766912"
"java.lang.String","10060","321920","862816"
"short[]","3556","263296","263296"
"java.util.HashMap$Entry","3431","109792","497856"
"java.lang.reflect.Method","1075","94600","131776"
"long[]","22","81136","81136"
"java.util.HashMap$Entry[]","610","67536","554672"
"java.lang.reflect.Field","752","54144","54480"
"java.util.Hashtable$Entry","1398","44736","156232"
"javax.swing.JSlider$1SmartHashtable$LabelUIResource","90","36000","70560"
"java.util.concurrent.ConcurrentHashMap$Segment","768","30720","82408"
"java.nio.HeapCharBuffer","567","27216","27216"
"java.util.HashMap","547","26256","564568"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","785","25120","25152"
"java.lang.Class[]","984","19952","19952"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]","768","18544","35544"
"java.lang.String[]","503","17608","29872"
"java.util.Hashtable$Entry[]","89","17400","169344"
"java.util.LinkedHashMap$Entry","322","12880","15272"
"java.lang.ref.WeakReference","382","12224","12224"
"javax.swing.JPanel","32","11008","40688"
"java.lang.ref.SoftReference","273","10920","73632"
"sun.java2d.loops.Blit","199","9552","9552"
"java.lang.Long","378","9072","9072"
"java.lang.reflect.Constructor","126","9072","10592"
"java.lang.Object","507","8112","8112"
"sun.java2d.loops.ScaledBlit","163","7824","7824"
"javax.swing.JLabel","19","7448","14744"
"java.security.AccessControlContext","221","7072","11832"
"java.lang.reflect.Method[]","110","6840","25304"
"java.lang.ref.PhantomReference","184","5888","6560"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","15","5760","101880"
"java.util.Vector","179","5728","1968680"
"java.util.logging.Logger","89","5696","6312"
"javax.swing.JButton","12","5568","13280"
"java.beans.PropertyChangeListener[]","232","5560","5592"
"java.nio.HeapByteBuffer","104","4992","70656"
"java.awt.Rectangle","152","4864","4864"
"java.security.ProtectionDomain[]","198","4760","4760"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.TimePoint","148","4736","4736"
"java.util.WeakHashMap$Entry","118","4720","12416"
"java.lang.Short","282","4512","4512"
"java.beans.PropertyChangeSupport","180","4320","43080"
"sun.java2d.DefaultDisposerRecord","133","4256","4256"
"sun.java2d.loops.MaskBlit","88","4224","4224"
"java.util.concurrent.ConcurrentHashMap$HashEntry","127","4064","20096"
"java.util.TreeMap$Entry","97","3880","10656"
"java.lang.StringBuilder","161","3864","3984"
"java.util.concurrent.ConcurrentHashMap$Segment[]","48","3840","84008"
"javax.management.ImmutableDescriptor","157","3768","12696"
"java.lang.reflect.Field[]","54","3624","3624"
"javax.swing.event.EventListenerList","222","3552","6096"
"java.awt.Component[]","178","3424","17392"
"sun.awt.X11.XAtom","106","3392","3392"
"com.sun.jmx.mbeanserver.ConvertingMethod","105","3360","33624"
"java.util.LinkedHashMap","60","3360","16504"
"java.net.URL","52","3328","9920"
"java.util.Hashtable","65","3120","28768"
"sun.java2d.loops.GraphicsPrimitive[]","2","3120","39128"
"java.util.WeakHashMap$Entry[]","32","2960","13360"
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap","181","2896","38776"
"java.lang.ref.Finalizer","70","2800","3128"
"java.util.logging.LogManager$LogNode","116","2784","17168"
"java.util.ArrayList","105","2520","280871912"
"boolean[]","28","2352","2352"
"java.util.concurrent.ConcurrentHashMap","48","2304","85880"
"sun.java2d.loops.MaskFill","47","2256","2256"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","28","2240","4328"
"java.io.EOFException","67","2144","2144"
"java.io.IOException","67","2144","2144"
"com.sun.jmx.mbeanserver.OpenConverter[]","112","2128","2128"
"float[]","24","2112","2112"
