"Uptime (ms)","Used PS Old Gen","Used PS Survivor Space","Used PS Eden Space","Allocated All Pools"
"600","0","0","2529280","60555264"
"1700","0","0","8465408","60555264"
"2700","0","0","8780800","60555264"
"3700","0","0","8780800","60555264"
"4700","0","0","8780800","60555264"
"5700","0","0","8780800","60555264"
"6700","0","0","8780800","60555264"
"7700","0","0","10045440","60555264"
"8700","0","0","13886464","60555264"
"9700","5429248","2615296","15794176","60555264"
"10800","7354368","2615296","14127104","60555264"
"11800","12398592","1941504","4162560","79429632"
"12800","12414976","1941504","20990976","74055680"
"13800","12423168","1941504","9512960","72220672"
"14800","12447744","1941504","2036736","70516736"
"15800","12464128","2863104","22852608","72482816"
"16800","12480512","987136","20994048","71368704"
"17800","12505088","1019904","22559744","69730304"
"18800","12546048","1941504","3788800","65011712"
"19800","12562432","2863104","9863168","64815104"
"20800","12587008","2863104","193536","64356352"
"21800","12611584","1941504","11472896","63242240"
"22800","12636160","2863104","8037376","61210624"
"23800","12660736","1941504","9440256","60686336"
"24800","12701696","1941504","13291520","58195968"
"25800","12742656","1941504","9054208","57081856"
"26800","12775424","1941504","7626752","56033280"
"27800","12824576","1941504","5854208","55246848"
"28900","14757888","1941504","8364032","55574528"
"29900","18609152","1941504","5475328","55181312"
"30900","22468608","1941504","4236288","54853632"
"31900","26271744","98304","8035328","59113472"
"32900","29200384","65536","9747456","61800448"
"33900","30242816","1019904","11790336","65077248"
"34900","30365696","1941504","10315776","62586880"
"35900","30482432","1987584","14535680","61734912"
"37000","31574016","1941504","5968896","61603840"
"38000","33544192","1019904","9800704","60489728"
"39000","35505152","1941504","12306432","60424192"
"40000","37540864","1019904","1242112","66781184"
"41100","37614592","1974272","499712","71368704"
"42100","37663744","1974272","20803584","69206016"
"43100","37889024","1941504","11774976","67698688"
"44200","37954560","1052672","4715520","65536000"
"45200","38052864","1157120","407552","64421888"
"46200","38206464","1052672","18282496","64684032"
"47200","38312960","1019904","2048","62128128"
"48300","39316480","1052672","2462720","61276160"
"49300","39390208","1191936","8222720","60489728"
"50400","10192896","0","8723456","47644672"
"51400","10233856","1941504","11655168","50724864"
"52400","10315776","1974272","10861568","54657024"
"53500","10405888","1974272","3723264","59244544"
"54500","10438656","1176576","10782720","64225280"
"55500","10652672","1974272","14524416","62521344"
"56500","10701824","1974272","19957760","61538304"
"57500","10800128","1974272","559104","59637760"
"58600","10849280","1974272","11288576","58785792"
"59600","10947584","1177600","2048","56295424"
"60600","11098112","1261568","17623040","56295424"
"61600","11429888","1974272","9326592","55050240"
"62700","11520000","2863104","6533120","54460416"
"63700","11585536","1941504","5403648","52887552"
"64700","11675648","1019904","6404096","57475072"
"65700","11716608","1974272","22052864","57475072"
"66800","12050432","1052672","5044224","62128128"
"67800","12099584","1085440","21004288","67633152"
"68800","12140544","2007040","28989440","67698688"
"69800","12181504","1085440","27394048","74383360"
"70900","12238848","1118208","31060992","74383360"
"71900","12320768","1085440","33218560","82051072"
"72900","12386304","2007040","22835200","79560704"
"74000","12476416","1085440","13632512","76873728"
"75000","12558336","1224704","7883776","75300864"
"76000","12771328","1085440","1689600","73531392"
"77100","12845056","1398784","2443264","72286208"
"78100","13233152","1085440","787456","70516736"
"79100","13323264","1974272","760832","70057984"
"80100","13372416","1437696","5831680","68157440"
"81200","13774848","1052672","9147392","66519040"
"82200","13848576","1052672","14614528","65273856"
"83200","13922304","1941504","23918592","64946176"
"84300","13946880","1052672","32704512","62980096"
"85300","14028800","1019904","1191936","60817408"
"86300","14053376","1019904","17757184","59834368"
"87300","14094336","1019904","27189248","58916864"
"88400","14434304","1052672","7266304","57212928"
"89400","14483456","1019904","25391104","56360960"
"90400","14581760","1019904","17874944","54853632"
"91400","14688256","1052672","2758656","53542912"
"92500","14729216","1019904","21544960","52822016"
"93500","14811136","1085440","16440320","55771136"
"94500","14917632","1085440","6277120","61210624"
"95500","14983168","1052672","13574144","61145088"
"96600","15040512","1085440","24174592","66715648"
"97600","15089664","1052672","25602048","66781184"
"98600","15147008","1052672","28874752","65142784"
"99700","16199680","163840","638976","61931520"
"100700","16248832","1052672","8383488","61800448"
"101700","16306176","1085440","17670144","60817408"
"102800","17334272","98304","1684480","57933824"
"103800","17375232","1052672","10780672","58589184"
"104800","17448960","1549312","18892800","57671680"
"105800","18990080","131072","7914496","60293120"
"106900","19055616","1085440","12736512","66322432"
"107900","19112960","1085440","15985664","67764224"
"108900","19153920","1052672","19568640","65863680"
"110000","19227648","1019904","26784768","64618496"
"111000","19325952","1052672","1910784","62455808"
"112000","19383296","1522688","11702272","65339392"
"113100","19911680","1052672","15613952","63700992"
"114100","19969024","1085440","24305664","62586880"
"115100","20042752","1052672","31297536","61538304"
"116200","21070848","98304","5150720","58589184"
"117200","21111808","1052672","18710528","58654720"
"118200","23061504","1052672","3350528","65011712"
"119300","23102464","1366016","7755776","70647808"
"120300","23473152","1085440","9279488","70713344"
"121300","23546880","1183744","12905472","78118912"
"122400","23735296","1150976","7349248","78118912"
"123400","23735296","1150976","46726144","78118912"
"124400","24771584","1085440","40041472","86769664"
"125500","24861696","1118208","19051520","84279296"
"126500","25889792","131072","10082304","81199104"
"127500","25889792","131072","51606528","81199104"
"128500","25955328","1085440","35998720","80216064"
"129600","26053632","1150976","26394624","78446592"
"130600","26176512","1118208","17294336","76677120"
"131600","27196416","163840","9589760","73990144"
"132700","27294720","1019904","10074112","73269248"
"133700","27352064","1085440","8911872","71827456"
"134800","14121984","0","9043968","73924608"
"135900","14592000","1085440","13509632","72548352"
"136900","14690304","1085440","17000448","71237632"
"137900","14772224","1085440","22098944","69926912"
"139000","14845952","1085440","34547712","68681728"
"140000","15890432","1085440","8775680","73793536"
"141100","15988736","1085440","6096896","72417280"
"142100","16070656","1019904","13296640","71041024"
"143100","16111616","1019904","21338112","69795840"
"144200","17082368","1085440","19057664","68616192"
"145200","17172480","1019904","25405440","67371008"
"146200","18242560","163840","6233088","71499776"
"147300","18332672","1118208","10941440","77004800"
"148300","18430976","1118208","7357440","75104256"
"149300","18521088","1150976","5431296","73662464"
"150400","19532800","98304","6766592","71237632"
"151400","19573760","1052672","7963648","70909952"
"152400","19631104","1052672","12597248","69664768"
"153500","19688448","1052672","13902848","68485120"
"154500","19770368","1085440","17934336","67305472"
"155500","19844096","1052672","26685440","66191360"
"156600","20016128","1052672","1453056","71041024"
"157600","20065280","1085440","10293248","73859072"
"158600","20155392","1085440","15759360","74317824"
"159700","20237312","1085440","17625088","81723392"
"160700","20319232","1118208","11630592","79691776"
"161700","21330944","131072","5982208","77004800"
"162800","22309888","1085440","825344","76414976"
"163800","22383616","1085440","796672","74907648"
"164800","22465536","1085440","1543168","73465856"
"165900","23477248","131072","742400","71106560"
"166900","23559168","1118208","2166784","70844416"
"167900","23665664","1019904","9987072","69468160"
"168900","23698432","1019904","12418048","76742656"
"170000","23739392","1052672","13677568","74711040"
"171000","23804928","1052672","12319744","73269248"
"172000","25999360","131072","16791552","75235328"
"173100","26994688","1085440","15287296","75890688"
"174100","27990016","1085440","12422144","73924608"
"175100","29009920","1052672","12916736","81461248"
"176200","30013440","1085440","6572032","82051072"
"177200","30013440","1085440","47851520","82051072"
"178200","30473216","1470464","39859200","80674816"
"179300","18528256","0","34109440","82378752"
"180400","18528256","1118208","28728320","81723392"
"181400","18610176","1823744","26972160","80805888"
"182500","19406848","1118208","26784768","85196800"
"183500","19496960","1052672","21404672","82640896"
"184500","19562496","1085440","13190144","81068032"
"185600","19636224","1118208","11913216","79626240"
"186600","19742720","1052672","8431616","78118912"
"187600","20746240","1085440","4466688","76742656"
"188700","20819968","1085440","8846336","75431936"
"189700","20885504","1052672","12824576","82182144"
"190800","20934656","1085440","5303296","84148224"
"191800","20934656","1085440","45547520","84148224"
"192800","21032960","1085440","39973888","90505216"
"193800","21098496","1085440","26025984","90505216"
"194900","21196800","1150976","17531904","99876864"
"195900","21327872","1150976","1195008","99876864"
"196900","21327872","1150976","38873088","99876864"
"198000","21442560","1183744","16431104","110886912"
"199000","21442560","1183744","60545024","110886912"
"200100","21590016","1216512","27068416","107806720"
"201100","21590016","1216512","67183616","107806720"
"202200","22700032","229376","41453568","104071168"
"203200","22863872","1118208","12591104","102367232"
"204200","22863872","1118208","57800704","102367232"
"205300","22986752","1118208","32758784","99876864"
"206400","23101440","1118208","12866560","97452032"
"207400","23101440","1118208","56757248","97452032"
"208400","24137728","229376","38885376","94240768"
"209500","24252416","1150976","23463936","92995584"
"210500","24383488","1085440","13314048","90832896"
"211600","24498176","1183744","994304","88997888"
"212600","24498176","1183744","40582144","88997888"
"213600","25567232","196608","31476736","86048768"
"214600","25649152","1085440","23784448","85196800"
"215700","25731072","1118208","16049152","93716480"
"216700","25845760","1118208","4036608","91619328"
"217800","25845760","1118208","48466944","91619328"
"218800","25968640","1085440","31846400","89522176"
"219900","26083328","1118208","25835520","87687168"
"220900","26173440","1085440","20191232","85786624"
"222000","28042240","1085440","11780096","94437376"
"223000","28132352","1085440","6144","100663296"
"224000","28132352","1085440","46088192","100663296"
"225100","29168640","1150976","22627328","101122048"
"226200","29283328","1150976","2842624","112394240"
"227200","29283328","1150976","44979200","112394240"
"228300","29406208","1118208","11468800","112394240"
"229300","29406208","1118208","54815744","112394240"
"230400","29529088","1183744","23826432","125698048"
"231400","29529088","1183744","64843776","125698048"
"232500","30614528","1183744","17940480","125698048"
