"Uptime (ms)","Used Code Cache","Used PS Perm Gen","Allocated All Pools"
"600","404480","6677504","24313856"
"1700","522240","10620928","24313856"
"2700","522240","10865664","24313856"
"3700","522240","10886144","24313856"
"4700","522240","10886144","24313856"
"5700","522240","10886144","24313856"
"6700","522240","10886144","24313856"
"7700","579584","12670976","24313856"
"8700","670720","18821120","24313856"
"9700","690176","19957760","24313856"
"10800","791552","20012032","24313856"
"11800","792576","20015104","24313856"
"12800","792576","20016128","24313856"
"13800","811008","20037632","24313856"
"14800","796672","20039680","24313856"
"15800","797696","20045824","24313856"
"16800","809984","20057088","24313856"
"17800","819200","20078592","24313856"
"18800","819200","20080640","24313856"
"19800","821248","20083712","24313856"
"20800","822272","20086784","24313856"
"21800","824320","20088832","24313856"
"22800","827392","20091904","24313856"
"23800","835584","20096000","24313856"
"24800","835584","20100096","24313856"
"25800","838656","20103168","24313856"
"26800","840704","20109312","24313856"
"27800","905216","20141056","24313856"
"28900","1093632","20148224","24313856"
"29900","1095680","20152320","24313856"
"30900","1095680","20153344","24313856"
"31900","1096704","20156416","24313856"
"32900","1097728","20157440","24313856"
"33900","1100800","20157440","24313856"
"34900","1106944","20157440","24313856"
"35900","1106944","20158464","24313856"
"37000","1108992","20158464","24313856"
"38000","1117184","20158464","24313856"
"39000","1117184","20158464","24313856"
"40000","1117184","20158464","24313856"
"41100","1122304","20158464","24313856"
"42100","1124352","20158464","24313856"
"43100","1124352","20158464","24313856"
"44200","1124352","20160512","24313856"
"45200","1125376","20160512","24313856"
"46200","1125376","20173824","24313856"
"47200","1125376","20173824","24313856"
"48300","1125376","20173824","24313856"
"49300","1125376","20173824","24313856"
"50400","1125376","20173824","43188224"
"51400","1125376","20174848","43188224"
"52400","1125376","20174848","43188224"
"53500","1125376","20174848","43188224"
"54500","1125376","20174848","43188224"
"55500","1125376","20174848","43188224"
"56500","1125376","20174848","43188224"
"57500","1125376","20174848","43188224"
"58600","1126400","20174848","43188224"
"59600","1126400","20174848","43188224"
"60600","1126400","20174848","43188224"
"61600","1126400","20174848","43188224"
"62700","1126400","20174848","43188224"
"63700","1126400","20174848","43188224"
"64700","1126400","20174848","43188224"
"65700","1126400","20174848","43188224"
"66800","1126400","20174848","43188224"
