"Name","Time (ms)","Samples","Level"
"<All threads>","263037","1669", "1"
"java.lang.Thread.run()","261169","836", "2"
"au.edu.jcu.v4l4j.PushSource.run()","260301","280", "3"
"uk.ac.ed.inf.sdp2012.group7.control.RobotControl$1.run()","479","275", "3"
"uk.ac.ed.inf.sdp2012.group7.MainRunner.main(String[])","1139","25", "2"
"uk.ac.ed.inf.sdp2012.group7.vision.Vision.<init>()","1139","25", "3"
"uk.ac.ed.inf.sdp2012.group7.vision.VisionFeed.<init>(String, int, int, int, int, int, ControlGUI)","844","19", "4"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.ControlGUI.initGUI()","269","1", "4"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.ControlGUI.<init>(ThresholdsState, WorldState)","24","5", "4"
"java.awt.EventDispatchThread.run()","714","281", "2"
"uk.ac.ed.inf.sdp2012.group7.strategy.Strategy$1.run()","12","239", "2"
"java.lang.UNIXProcess$1$1.run()","0","288", "2"
