"Uptime (ms)","Time spent in GC","CPU time"
"600","0","0"
"1600","0","43"
"2600","0","43"
"3600","0","50"
"4600","0","44"
"5600","0","3"
"6600","0","0"
"7600","0","0"
"8700","0","2"
"9700","0","1"
"10700","0","53"
"11700","0","41"
"12700","0","41"
"13700","0","36"
"14700","0","32"
"15700","0","32"
"16700","0","32"
"17700","0","32"
"18800","0","28"
"19800","0","34"
"20800","0","32"
"21800","0","32"
"22800","0","34"
"23800","0","32"
"24800","0","32"
"25800","0","35"
"26800","0","32"
"27800","0","31"
"28800","0","34"
"29800","0","32"
"30800","0","32"
"31800","0","34"
"32800","0","32"
"33800","0","31"
"34800","0","34"
"35800","0","32"
"36800","0","32"
"37900","0","31"
"38900","0","33"
"39900","0","32"
"40900","0","33"
"41900","0","34"
"42900","0","32"
"43900","0","32"
"44900","0","36"
"45900","0","31"
"46900","0","32"
"47900","0","33"
"48900","0","32"
"49900","0","32"
"50900","0","35"
"51900","0","31"
"52900","0","32"
"54000","0","30"
"55000","2","34"
"56000","0","31"
"57000","0","34"
"58000","0","33"
"59000","0","32"
"60000","0","35"
"61000","0","32"
"62000","0","31"
"63100","2","32"
"64100","0","29"
"65100","0","30"
"66100","0","33"
"67100","0","31"
"68100","0","31"
"69100","0","31"
"70100","0","34"
"71100","0","31"
"72100","0","30"
"73100","2","37"
"74100","0","31"
"75100","0","31"
"76200","0","31"
"77200","0","31"
"78200","0","31"
"79200","0","33"
"80200","0","33"
"81200","0","31"
"82200","0","34"
"83200","0","31"
"84200","0","31"
"85200","0","33"
"86200","2","34"
"87300","0","28"
"88300","0","33"
"89300","0","31"
"90300","0","32"
"91300","0","34"
"92300","0","32"
"93300","0","31"
"94300","0","35"
"95300","0","31"
"96300","0","32"
"97300","0","32"
"98300","0","32"
"99300","0","31"
"100300","0","30"
"101300","0","33"
"102300","0","30"
"103300","0","30"
"104300","0","33"
"105400","0","29"
"106400","0","31"
"107400","0","33"
"108400","2","33"
"109400","0","31"
"110400","0","32"
"111400","0","31"
"112400","0","30"
"113400","0","33"
"114400","0","31"
"115400","0","30"
"116400","0","34"
"117500","0","28"
"118500","0","31"
"119500","0","32"
"120500","0","31"
"121500","0","31"
"122500","0","33"
"123500","0","31"
"124500","0","32"
"125500","0","42"
"126500","0","32"
"127500","0","30"
"128500","0","33"
"129500","0","31"
"130600","2","30"
"131600","0","34"
"132600","0","34"
"133600","0","30"
"134600","0","33"
"135600","0","33"
"136600","0","31"
"137600","0","30"
"138700","0","29"
"139700","0","31"
"140700","0","30"
"141700","0","33"
"142700","0","29"
"143700","2","33"
"144700","0","33"
"145700","0","30"
"146700","0","30"
"147700","0","34"
"148700","0","28"
"149700","0","32"
"150800","0","30"
"151800","0","29"
"152800","0","29"
"153800","2","34"
"154800","0","25"
"155800","0","28"
"156800","0","32"
"157800","0","28"
"158800","0","28"
"159800","0","32"
"160800","0","29"
"161800","0","28"
"162900","0","26"
"163900","0","31"
"164900","0","28"
"165900","0","28"
"166900","0","31"
"167900","0","29"
"168900","0","29"
"169900","0","31"
"170900","0","29"
"171900","0","29"
"172900","0","30"
"173900","0","29"
"174900","0","28"
"176000","2","31"
"177000","0","29"
"178000","0","29"
"179000","0","31"
"180000","0","29"
"181000","0","29"
"182000","0","32"
"183000","0","28"
"184000","0","29"
"185000","0","31"
"186000","0","30"
"187000","0","28"
"188000","0","31"
"189000","0","30"
"190100","2","29"
"191100","0","32"
"192100","0","29"
"193100","0","29"
"194100","0","30"
"195100","0","31"
"196100","0","29"
"197100","0","29"
"198100","0","31"
"199200","2","29"
"200200","0","29"
"201200","0","31"
"202200","0","29"
"203200","0","29"
"204200","0","31"
"205200","0","28"
"206200","0","28"
"207200","0","30"
"208200","0","30"
"209200","0","28"
"210200","0","32"
"211200","0","30"
"212200","0","28"
"213300","0","27"
"214300","0","28"
"215300","2","31"
"216300","0","32"
"217300","0","28"
"218300","0","29"
"219300","0","31"
"220300","0","28"
"221300","0","29"
"222400","0","29"
"223400","0","28"
"224400","0","29"
"225400","0","30"
"226400","0","30"
"227400","0","28"
"228400","0","28"
"229400","0","31"
"230400","0","29"
"231400","2","32"
"232400","0","32"
"233500","0","27"
"234500","0","29"
"235500","0","31"
"236500","0","29"
"237500","0","29"
"238500","0","31"
"239500","0","31"
"240500","0","29"
"241500","0","31"
"242500","0","29"
"243500","0","29"
"244500","0","32"
"245500","0","30"
"246500","0","29"
"247500","2","35"
"248500","0","29"
"249600","0","27"
"250600","0","33"
"251600","0","30"
"252600","0","29"
"253600","0","33"
"254600","0","30"
"255600","0","29"
"256600","0","30"
"257600","0","32"
"258700","0","27"
"259700","0","29"
"260700","2","34"
"261700","0","29"
"262700","0","29"
"263700","0","32"
"264700","0","30"
"265700","0","29"
"266700","0","32"
"267800","0","29"
"268800","0","33"
"269800","0","30"
"270800","0","31"
"271800","0","29"
"272800","2","31"
"273800","0","31"
"274800","0","29"
"275800","0","29"
"276800","0","31"
"277800","0","32"
"278900","0","25"
"279900","0","28"
"280900","0","31"
"281900","0","28"
"282900","0","31"
"283900","0","29"
"284900","0","29"
"285900","2","35"
"286900","0","28"
"287900","0","29"
"288900","0","28"
"289900","0","29"
"291000","0","25"
"292000","0","31"
"293000","0","29"
"294000","0","27"
"295000","0","26"
"296000","0","30"
"297000","0","28"
"298000","0","27"
"299000","0","31"
"300000","0","32"
"301100","1","28"
"302100","0","28"
"303100","0","31"
"304100","0","28"
"305100","0","31"
"306100","0","28"
"307100","0","32"
"308100","0","30"
"309100","0","27"
"310100","0","26"
"311100","0","31"
"312100","0","28"
"313100","0","29"
"314200","2","30"
"315200","0","28"
"316200","0","28"
"317200","0","28"
"318200","0","31"
"319200","0","28"
"320200","0","29"
"321200","0","31"
"322200","0","29"
"323200","0","29"
"324200","0","32"
"325200","0","29"
"326200","0","29"
"327200","0","32"
"328300","2","29"
"329300","0","29"
"330300","0","32"
"331300","0","29"
"332300","0","28"
"333300","0","31"
"334300","0","29"
"335300","0","29"
"336300","0","31"
"337300","0","27"
"338300","0","28"
"339300","0","32"
"340300","0","28"
"341300","0","26"
"342400","2","29"
"343400","0","26"
"344400","0","27"
"345400","0","30"
"346400","0","27"
"347400","0","26"
"348400","0","26"
"349400","0","33"
"350500","0","27"
"351500","0","28"
"352500","0","31"
"353500","0","26"
"354500","0","27"
"355500","0","30"
"356500","0","28"
"357500","0","28"
"358500","2","34"
"359500","0","29"
"360500","0","28"
"361600","0","28"
"362600","0","29"
"363600","0","29"
"364600","0","31"
"365600","0","28"
