"Uptime (ms)","Used All Pools","Allocated All Pools"
"600","7148544","24313856"
"1600","7178240","24313856"
"2600","7209984","24313856"
"3600","7810048","24313856"
"4600","11578368","24313856"
"5600","11599872","24313856"
"6600","11599872","24313856"
"7600","11599872","24313856"
"8700","11599872","24313856"
"9700","11784192","24313856"
"10700","18091008","24313856"
"11700","20627456","24313856"
"12700","20855808","24313856"
"13700","20897792","24313856"
"14700","20901888","24313856"
"15700","20901888","24313856"
"16700","20920320","24313856"
"17700","20924416","24313856"
"18800","20902912","24313856"
"19800","20913152","24313856"
"20800","20917248","24313856"
"21800","20920320","24313856"
"22800","20925440","24313856"
"23800","20917248","24313856"
"24800","20923392","24313856"
"25800","20927488","24313856"
"26800","20940800","24313856"
"27800","20942848","24313856"
"28800","20945920","24313856"
"29800","20954112","24313856"
"30800","20957184","24313856"
"31800","20968448","24313856"
"32800","20971520","24313856"
"33800","20977664","24313856"
"34800","20985856","24313856"
"35800","20987904","24313856"
"36800","20990976","24313856"
"37900","21000192","24313856"
"38900","21001216","24313856"
"39900","21012480","24313856"
"40900","21038080","24313856"
"41900","21040128","24313856"
"42900","21042176","24313856"
"43900","21045248","24313856"
"44900","21055488","24313856"
"45900","21056512","24313856"
"46900","21069824","24313856"
"47900","21083136","24313856"
"48900","21083136","24313856"
"49900","21086208","24313856"
"50900","21099520","24313856"
"51900","21103616","24313856"
"52900","21103616","24313856"
"54000","21104640","24313856"
"55000","21122048","43384832"
"56000","21129216","43384832"
"57000","21132288","43384832"
"58000","21154816","43384832"
"59000","21154816","43384832"
"60000","21170176","43384832"
"61000","21181440","43384832"
"62000","21182464","43384832"
"63100","21186560","48168960"
"64100","21186560","48168960"
"65100","21187584","48168960"
"66100","21188608","48168960"
"67100","21193728","48168960"
"68100","21193728","48168960"
"69100","21193728","48168960"
"70100","21193728","48168960"
"71100","21194752","48168960"
"72100","21195776","48168960"
"73100","21195776","46530560"
"74100","21197824","46530560"
"75100","21197824","46530560"
"76200","21204992","46530560"
"77200","21204992","46530560"
"78200","21204992","46530560"
"79200","21207040","46530560"
"80200","21223424","46530560"
"81200","21224448","46530560"
"82200","21225472","46530560"
"83200","21228544","46530560"
"84200","21231616","46530560"
"85200","21237760","46530560"
"86200","21047296","44302336"
"87300","21058560","44302336"
"88300","21058560","44302336"
"89300","21058560","44302336"
"90300","21064704","44302336"
"91300","21064704","44302336"
"92300","21067776","44302336"
"93300","21067776","44302336"
"94300","21081088","44302336"
"95300","21081088","44302336"
"96300","21091328","44302336"
"97300","21091328","44302336"
"98300","21097472","44302336"
"99300","21098496","44302336"
"100300","21098496","44302336"
"101300","21098496","44302336"
"102300","21098496","44302336"
"103300","21098496","44302336"
"104300","21098496","44302336"
"105400","21099520","44302336"
"106400","21100544","44302336"
"107400","21100544","44302336"
"108400","21100544","42663936"
"109400","21100544","42663936"
"110400","21100544","42663936"
"111400","21100544","42663936"
"112400","21100544","42663936"
"113400","21100544","42663936"
"114400","21100544","42663936"
"115400","21103616","42663936"
"116400","21103616","42663936"
"117500","21103616","42663936"
"118500","21103616","42663936"
"119500","21103616","42663936"
"120500","21103616","42663936"
"121500","21108736","42663936"
"122500","21108736","42663936"
"123500","21108736","42663936"
"124500","21108736","42663936"
"125500","21200896","42663936"
"126500","21211136","42663936"
"127500","21211136","42663936"
"128500","21215232","42663936"
"129500","21218304","42663936"
"130600","21220352","40501248"
"131600","21170176","40501248"
"132600","21173248","40501248"
"133600","21173248","40501248"
"134600","21188608","40501248"
"135600","20725760","40501248"
"136600","20726784","40501248"
"137600","20727808","40501248"
"138700","20730880","40501248"
"139700","20752384","40501248"
"140700","20755456","40501248"
"141700","20762624","40501248"
"142700","20765696","40501248"
"143700","20783104","38273024"
"144700","20793344","38273024"
"145700","20799488","38273024"
"146700","20799488","38273024"
"147700","20825088","38273024"
"148700","20828160","38273024"
"149700","20835328","38273024"
"150800","20849664","38273024"
"151800","20850688","38273024"
"152800","20866048","38273024"
