"Name","Retained Size","Level"
"au.edu.jcu.v4l4j.JPEGFrameGrabber [Stack Local]","1843936", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.VisionFeed [Stack Local]","925464", "1"
"[Unreachable] int[230982] = {-1005520160, 0, 0, 0, -1524974071, 23, -1184589704, 0, -1008223056, -1005520160, 0, 0, 5, 0, -1166978960, 0, -732760480, 32518, -463282784, 32518, 5, 0, -1184478728, 0, 8, 1061158912, 0, -1005520048, 0, 0, 0, 0, 1, 0, -1183757256, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, ...}","923944", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.Vision","923088", "1"
"[Unreachable] byte[921600] = {0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, ...}","921616", "1"
"[Unreachable] byte[921600] = {0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, ...}","921616", "1"
"[Unreachable] byte[921600] = {0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, ...}","921616", "1"
"[Unreachable] byte[921600] = {0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, ...}","921616", "1"
"[Unreachable] int[230400] = {16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -65281, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, ...}","921616", "1"
"[Unreachable] int[230400] = {16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -65281, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, ...}","921616", "1"
"[Unreachable] int[230400] = {16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -65281, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, ...}","921616", "1"
"[Unreachable] int[230400] = {16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -65281, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, -16776961, 16711680, 65280, ...}","921616", "1"
"[Unreachable] int[230400] = {471472925, 438049050, 404298521, 471341339, 438049050, 454761754, 521935902, 488643869, 522002463, 538909984, 488644381, 522002463, 538844704, 505421342, 522133790, 572464929, 522330144, 555688481, 572596002, 505553183, 589177379, 606347043, 556082464, 639771430, 539435810, 589309731, 690233640, 573121569, 622930469, 707076394, 590161186, 656485926, 791159342, 607201315, 690237993, 858399538, 540092447, 723596075, 892018997, 557132577, 757282091, 942548023, 607792420, 757348909, 992879930, 641478181, 791035183, 1009722941, 691745321, 841628466, ...}","921616", "1"
"byte[614400] [Stack Local]  = {-1, -40, -1, -32, 0, 16, 74, 70, 73, 70, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, -1, -37, 0, 67, 0, 6, 4, 5, 6, 5, 4, 6, 6, 5, 6, 7, 7, 6, 8, 10, 16, 10, 10, 9, 9, 10, 20, 14, 15, 12, ...}","614416", "1"
"sun.awt.X11GraphicsEnvironment [Class]","225320", "1"
"[Unreachable] int[32034] = {-1005659280, 0, 0, 0, -1221028599, 83, -1184589704, 0, -1008223056, -1005659280, 0, 0, 1, 0, -1165328304, 0, 0, 0, 5, 0, -1183758080, 649781518, -1005659192, 0, -1008478008, 0, -1159655927, 38, -1184589704, 0, -1008223056, -1005659192, 0, 0, 5, 0, -1166978960, 0, -732926944, 32518, -463282784, 32518, 5, 0, -1183758080, 568584483, -1005659096, 0, 0, 0, ...}","128152", "1"
"byte[65536] = {0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ...}","65552", "1"
"sun.awt.AppContext","51656", "1"
"lejos.pc.comm.SystemContext","42512", "1"
"sun.java2d.loops.GraphicsPrimitiveMgr [JNI Global, Class]","39784", "1"
"java.util.ArrayList","33488", "1"
