"Name","Objects","Shallow Size","Retained Size"
"byte[]","3696","10210296","10210296"
"int[]","2618","5982704","5982704"
"java.lang.Class","2428","1890392","3696344"
"java.awt.image.BufferedImage","6","288","1846368"
"sun.awt.image.ByteInterleavedRaster","9","1080","1844832"
"au.edu.jcu.v4l4j.JPEGFrameGrabber","1","104","1843936"
"au.edu.jcu.v4l4j.JPEGVideoFrame","4","256","1843760"
"uk.ac.ed.inf.sdp2012.group7.vision.VisionFeed","1","56","925464"
"java.lang.String","9682","309824","820168"
"char[]","9344","686040","686040"
"java.util.HashMap$Entry","3432","109824","569712"
"java.util.HashMap","538","25824","558744"
"java.util.HashMap$Entry[]","601","66816","544720"
"short[]","3385","250920","250920"
"java.lang.Object[]","897","45264","215288"
"java.util.Hashtable$Entry","1482","47424","171560"
"java.util.Hashtable$Entry[]","83","21624","171544"
"java.lang.reflect.Method","1075","94600","139920"
"java.util.Vector","168","5376","126656"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","15","5760","101640"
"java.lang.ref.Finalizer","69","2760","96928"
"java.util.concurrent.ConcurrentHashMap","49","2352","92624"
"java.util.concurrent.ConcurrentHashMap$Segment[]","49","3920","90592"
"java.util.concurrent.ConcurrentHashMap$Segment","784","31360","88832"
"long[]","22","81136","81136"
"javax.swing.JSlider$1SmartHashtable","15","960","76800"
"java.lang.ref.SoftReference","272","10880","73168"
"java.util.logging.LogManager$LogNode","116","2784","73120"
"javax.swing.JSlider$1SmartHashtable$LabelUIResource","90","36000","70560"
"java.nio.HeapByteBuffer","30","1440","67104"
"java.io.BufferedReader","3","144","66104"
"java.util.ArrayList","100","2400","56984"
"java.lang.reflect.Field","727","52344","53856"
"sun.awt.AppContext","1","56","51656"
"com.yourkit.runtime.Core$MyProcessOutputReader","2","224","50352"
"java.io.PrintStream","2","64","50128"
"javax.swing.UIManager$LAFState","1","48","48744"
"sun.font.CompositeFont","20","1920","47280"
"com.sun.jmx.mbeanserver.PerInterface","11","440","45600"
"java.beans.PropertyChangeSupport","180","4320","43080"
"java.io.OutputStreamWriter","5","160","42080"
"sun.nio.cs.StreamEncoder","5","280","41920"
"javax.swing.UIDefaults[]","1","24","40968"
"javax.swing.UIDefaults","1","64","40944"
"javax.swing.JPanel","32","11008","40904"
"sun.java2d.loops.GraphicsPrimitive[]","2","3120","39128"
"java.util.zip.Inflater","11","352","39096"
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap","181","2896","38776"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]","784","18928","35968"
"com.sun.jmx.mbeanserver.ConvertingMethod","105","3360","33624"
"sun.awt.X11.XIconInfo","4","192","33408"
"java.io.BufferedWriter","2","96","32896"
"sun.misc.Launcher$AppClassLoader","1","72","31152"
"java.util.Hashtable","59","2832","30560"
"java.lang.String[]","504","17600","29992"
"sun.security.provider.Sun","2","192","27784"
"java.util.logging.LogManager","1","40","26008"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","801","25632","25632"
"java.lang.reflect.Method[]","110","6840","25304"
