"Uptime (ms)","Used All Pools","Allocated All Pools"
"600","3792896","60555264"
"1600","3792896","60555264"
"2600","3792896","60555264"
"3600","3792896","60555264"
"4600","9099264","60555264"
"5600","9099264","60555264"
"6600","9099264","60555264"
"7600","9099264","60555264"
"8700","9099264","60555264"
"9700","9099264","60555264"
"10700","12925952","60555264"
"11700","18122752","60555264"
"12700","10076160","60555264"
"13700","18258944","76349440"
"14700","35693568","76283904"
"15700","20193280","72744960"
"16700","42036224","72744960"
"17700","34619392","70189056"
"18800","30970880","68681728"
"19800","30443520","68222976"
"20800","31928320","66912256"
"21800","15044608","65208320"
"22800","22700032","65470464"
"23800","15065088","62783488"
"24800","27222016","61014016"
"25800","25377792","61603840"
"26800","27321344","58851328"
"27800","19763200","57606144"
"28800","15798272","57475072"
"29800","17070080","55640064"
"30800","20501504","55771136"
"31800","17984512","55181312"
"32800","19110912","54460416"
"33800","21899264","54001664"
"34800","21947392","53018624"
"35800","17657856","52756480"
"36800","19060736","52559872"
"37900","16098304","50462720"
"38900","17839104","52822016"
"39900","17319936","52363264"
"40900","16653312","51445760"
"41900","18565120","50462720"
"42900","26530816","52625408"
"43900","21455872","51904512"
"44900","25664512","51445760"
"45900","29907968","51970048"
"46900","31860736","51576832"
"47900","32721920","52887552"
"48900","35578880","53870592"
"49900","37713920","53280768"
"50900","37661696","52428800"
"51900","40215552","51642368"
"52900","46242816","53280768"
"54000","45852672","54394880"
"55000","15724544","38993920"
"56000","19336192","37879808"
"57000","19519488","37093376"
"58000","21355520","36634624"
"59000","20283392","36175872"
"60000","29224960","37224448"
"61000","24713216","36634624"
"62000","30328832","36241408"
"63100","11978752","42270720"
"64100","21779456","43188224"
"65100","20301824","42532864"
"66100","17527808","42270720"
"67100","22916096","41222144"
"68100","22165504","42270720"
"69100","31690752","41811968"
"70100","28079104","41222144"
"71100","35866624","40894464"
"72100","36412416","40501248"
"73100","15686656","46268416"
"74100","21311488","47316992"
"75100","23340032","46661632"
"76200","17419264","46006272"
"77200","25103360","45481984"
"78200","26125312","44957696"
"79200","21259264","46071808"
"80200","29440000","45350912"
"81200","29919232","44695552"
"82200","27037696","44171264"
"83200","33682432","43909120"
"84200","35483648","44826624"
"85200","37409792","46202880"
"86200","19372032","50987008"
"87300","20810752","50331648"
"88300","12987392","49807360"
"89300","19300352","49283072"
"90300","19478528","48824320"
"91300","19425280","48300032"
"92300","21518336","48103424"
"93300","27728896","47972352"
"94300","30622720","48562176"
"95300","21355520","48168960"
"96300","34695168","49610752"
"97300","35798016","50790400"
"98300","29895680","50135040"
"99300","35004416","49610752"
"100300","42066944","49086464"
"101300","33757184","48431104"
"102300","34351104","48103424"
"103300","44960768","50921472"
"104300","46905344","52756480"
"105400","36679680","56950784"
"106400","49784832","59637760"
"107400","55376896","59047936"
"108400","21732352","57933824"
"109400","16091136","57212928"
"110400","28812288","56557568"
"111400","26150912","55312384"
"112400","27004928","54722560"
"113400","28856320","53739520"
"114400","21226496","52887552"
"115400","27945984","52559872"
"116400","25589760","51707904"
"117500","26083328","51052544"
"118500","27889664","50462720"
"119500","30033920","50135040"
"120500","27002880","49283072"
"121500","35559424","48758784"
"122500","35614720","48365568"
"123500","29384704","47972352"
"124500","33696768","49086464"
"125500","36536320","48758784"
"126500","39447552","48562176"
"127500","43145216","49283072"
"128500","40358912","48758784"
"129500","42162176","48300032"
"130600","17940480","45809664"
"131600","16180224","45350912"
"132600","18290688","46923776"
"133600","24071168","48103424"
"134600","29474816","47513600"
"135600","27856896","46661632"
"136600","27896832","46202880"
"137600","30081024","45744128"
"138700","26878976","46792704"
"139700","28525568","46333952"
"140700","29820928","45809664"
"141700","35812352","45809664"
"142700","37283840","46792704"
"143700","16592896","46333952"
"144700","18706432","45613056"
"145700","24853504","45416448"
"146700","23932928","45023232"
"147700","26784768","46137344"
"148700","26599424","46989312"
"149700","26851328","46727168"
"150800","27049984","45744128"
"151800","32619520","45875200"
"152800","39699456","45744128"
"153800","17189888","51249152"
"154800","18480128","50462720"
"155800","22132736","49872896"
"156800","18504704","49152000"
"157800","17547264","48496640"
"158800","17561600","48103424"
"159800","17881088","47579136"
"160800","22277120","48496640"
"161800","22353920","48300032"
