"Uptime (ms)","Daemon threads","All threads"
"600","9","11"
"1600","9","11"
"2600","9","11"
"3600","9","10"
"4600","11","12"
"5600","11","12"
"6600","11","12"
"7600","11","12"
"8700","11","12"
"9700","11","13"
"10700","12","14"
"11700","12","17"
"12700","12","17"
"13700","12","17"
"14700","12","17"
"15700","12","17"
"16700","12","17"
"17700","12","17"
"18800","12","17"
"19800","12","17"
"20800","12","17"
"21800","12","17"
"22800","12","17"
"23800","12","17"
"24800","12","17"
"25800","12","17"
"26800","12","17"
"27800","12","17"
"28800","12","17"
"29800","12","17"
"30800","12","17"
"31800","12","17"
"32800","12","17"
"33800","12","17"
"34800","12","17"
"35800","12","17"
"36800","12","17"
"37900","12","17"
"38900","12","17"
"39900","12","17"
"40900","12","17"
"41900","12","17"
"42900","12","17"
"43900","12","17"
"44900","12","17"
"45900","12","17"
"46900","12","17"
"47900","12","17"
"48900","12","17"
"49900","12","17"
"50900","12","17"
"51900","12","17"
"52900","12","17"
"54000","12","17"
"55000","12","17"
"56000","12","17"
"57000","12","17"
"58000","12","17"
"59000","12","17"
"60000","12","17"
"61000","12","17"
"62000","12","17"
"63100","12","17"
"64100","12","17"
"65100","12","17"
"66100","12","17"
"67100","12","17"
"68100","12","17"
"69100","12","17"
"70100","12","17"
"71100","12","17"
"72100","12","17"
"73100","12","17"
"74100","12","17"
"75100","12","17"
"76200","12","17"
"77200","12","17"
"78200","12","17"
"79200","12","17"
"80200","12","17"
"81200","12","17"
"82200","12","17"
"83200","12","17"
"84200","12","17"
"85200","12","17"
"86200","12","17"
"87300","12","17"
"88300","12","17"
"89300","12","17"
"90300","12","17"
"91300","12","17"
"92300","12","17"
"93300","12","17"
"94300","12","17"
"95300","12","17"
"96300","12","17"
"97300","12","17"
"98300","12","17"
"99300","12","17"
"100300","12","17"
"101300","12","17"
"102300","12","17"
"103300","12","17"
"104300","12","17"
"105400","12","17"
"106400","12","17"
"107400","12","17"
"108400","12","17"
"109400","12","17"
"110400","12","17"
"111400","12","17"
"112400","12","17"
"113400","12","17"
"114400","12","17"
"115400","12","17"
"116400","12","17"
"117500","12","17"
"118500","12","17"
"119500","12","17"
"120500","12","17"
"121500","12","17"
"122500","12","17"
"123500","12","17"
"124500","12","17"
"125500","12","17"
"126500","12","17"
"127500","12","17"
"128500","12","17"
"129500","12","17"
"130600","12","17"
"131600","12","17"
"132600","12","17"
"133600","12","17"
"134600","12","17"
"135600","12","17"
"136600","12","17"
"137600","12","17"
"138700","12","17"
"139700","12","17"
"140700","12","17"
"141700","12","17"
"142700","12","17"
"143700","12","17"
"144700","12","17"
"145700","12","17"
"146700","12","17"
"147700","12","17"
"148700","12","17"
"149700","12","17"
"150800","12","17"
"151800","12","17"
"152800","12","17"
"153800","12","17"
"154800","12","17"
"155800","12","17"
"156800","12","17"
"157800","12","17"
"158800","12","17"
"159800","12","17"
"160800","12","17"
"161800","12","17"
"162900","12","17"
"163900","12","17"
"164900","12","17"
"165900","12","17"
"166900","12","17"
"167900","12","17"
"168900","12","17"
"169900","12","17"
"170900","12","17"
"171900","12","17"
"172900","12","17"
"173900","12","17"
"174900","12","17"
"176000","12","17"
"177000","12","17"
"178000","12","17"
"179000","12","17"
"180000","12","17"
"181000","12","17"
"182000","12","17"
"183000","12","17"
"184000","12","17"
"185000","12","17"
"186000","12","17"
"187000","12","17"
"188000","12","17"
"189000","12","17"
"190100","12","17"
"191100","12","17"
"192100","12","17"
"193100","12","17"
"194100","12","17"
"195100","12","17"
"196100","12","17"
"197100","12","17"
"198100","12","17"
"199200","12","17"
"200200","12","17"
"201200","12","17"
"202200","12","17"
"203200","12","17"
"204200","12","17"
"205200","12","17"
"206200","12","17"
"207200","12","17"
"208200","12","17"
"209200","12","17"
"210200","12","17"
"211200","12","17"
"212200","12","17"
"213300","12","17"
"214300","12","17"
"215300","12","17"
"216300","12","17"
"217300","12","17"
"218300","12","17"
"219300","12","17"
"220300","12","17"
"221300","12","17"
"222400","12","17"
"223400","12","17"
"224400","12","17"
"225400","12","17"
"226400","12","17"
"227400","12","17"
"228400","12","17"
"229400","12","17"
"230400","12","17"
"231400","12","17"
"232400","12","17"
"233500","12","17"
"234500","12","17"
"235500","12","17"
"236500","12","17"
"237500","12","17"
"238500","12","17"
"239500","12","17"
"240500","12","17"
"241500","12","17"
"242500","12","17"
"243500","12","17"
"244500","12","17"
"245500","12","17"
"246500","12","17"
"247500","12","17"
"248500","12","17"
"249600","12","17"
"250600","12","17"
"251600","12","17"
"252600","12","17"
"253600","12","17"
"254600","12","17"
"255600","12","17"
"256600","12","17"
"257600","12","17"
"258700","12","17"
"259700","12","17"
"260700","12","17"
"261700","12","17"
"262700","12","17"
"263700","12","17"
"264700","12","17"
"265700","12","17"
"266700","12","17"
"267800","12","17"
"268800","12","17"
"269800","12","17"
"270800","12","17"
"271800","12","17"
"272800","12","17"
"273800","12","17"
"274800","12","17"
"275800","12","17"
"276800","12","17"
"277800","12","17"
"278900","12","17"
"279900","12","17"
"280900","12","17"
"281900","12","17"
"282900","12","17"
"283900","12","17"
"284900","12","17"
"285900","12","17"
"286900","12","17"
"287900","12","17"
"288900","12","17"
"289900","12","17"
"291000","12","17"
"292000","12","17"
